Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port","Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
Denmark,DANNEBROG,,"1900-01-01 00:00:00",HOME,FREDERIKSHAVN,"Pleasure Craft","2023-11-03 03:09:50",57.438,10.55334
Netherlands,NOORDAM,,-,"AU NLK",,Passenger,"2023-11-01 11:03:25",-19.75752,-174.8928
"Hong Kong","CSCL GLOBE",SHANGHAI,"2023-11-02 23:45:00","CN SHY",SHANGHAI,Cargo,"2023-11-03 03:10:09",30.65267,122.0211
France,"ABEILLE BOURBON",,"2023-05-21 12:00:00",0,,"Special Craft","2023-11-03 03:05:52",48.46809,-5.048747
Netherlands,WESTERDAM,KEELUNG,"2023-10-01 22:30:00","TW KEL",KEELUNG,Passenger,"2023-11-03 03:09:33",25.13722,121.7432
Sweden,GOTHEBORG,,"2023-08-30 19:00:00",ERIKSBERG,GOTEBORG,"Special Craft","2023-08-30 17:23:54",57.70093,11.91867
Malta,EUROPA,CARTAGENA,-,COCTG,,Passenger,"2023-11-03 02:55:20",17.07275,-87.74023
Malta,"MSC VIRTUOSA",BARCELONA,-,ESBCN,,Passenger,"2023-11-03 03:10:09",36.1394,-3.783407
Bahamas,"COMMODORE CLIPPER","PORTLAND UK","2023-11-01 16:30:00",PORTLAND,"PORTLAND UK",Passenger,"2023-11-03 03:08:38",50.57217,-2.4315
Malta,"EUROPA 2",GUSTAVIA,-,"BL SBH",,Passenger,"2023-11-01 19:38:23",32.30042,-64.557
