Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude
USA,"MADDIE K",,"2023-11-03 05:42:00","XX XXX>US^0LGX","NEW YORK",0,Tug,"2023-11-03 02:50:08",40.66307,-74.0013
USA,"JOHN F.KENNEDY","NEW YORK","2021-09-26 00:00:00","ST GEORGE","NEW YORK",8643195,Passenger,"2023-06-14 21:21:59",40.73365,-74.01833
USA,NEPTUNE,"FORT HANCOCK","2023-11-02 05:00:00","SANDY HOOK",,8860406,Tug,"2023-11-03 02:51:27",40.47563,-74.02377
USA,"VINIK NO.6",,"1900-01-01 00:00:00","NY HARBOR","NEW YORK",7044328,Tug,"2023-11-03 02:50:59",40.56031,-74.23007
USA,"WEDDELL SEA",,"1900-01-01 00:00:00",US^0MCH>0RR5,"NEW YORK",8741820,Tug,"2022-07-20 15:02:19",40.641,-74.16518
USA,"MARJORIE B.MCALLISTER","NEW YORK","1900-01-01 00:00:00","NEW YORK CITY","NEW YORK",7391020,Tug,"2023-11-03 02:51:37",40.56557,-74.21324
USA,OLOH,,,"No data (CLASS B transponder)","STATEN ISLAND",0,"Pleasure Craft","2023-11-03 02:45:10",40.54494,-74.13627
USA,"ALLIE B",,"2023-11-03 04:05:00","XX XXX",,7626279,Tug,"2023-11-03 02:51:17",40.48447,-73.9058
USA,"JOSHUA CHOUEST",HOUMA,"2018-07-08 23:30:00","HOUMA LA","NEW YORK",9382839,"Special Craft","2023-07-21 22:28:00",40.66508,-74.08997
USA,"IVORY COAST",,-,US^0YMN,"PRINCES BAY",7042825,Tug,"2023-11-03 02:48:38",40.50705,-74.20448
USA,NAVIGATOR,,"2023-05-18 00:00:00","TOTTENVILLE NY","TOTTENVILLE (STATEN)",8999776,Tug,"2023-11-02 01:22:04",40.51805,-74.24738
USA,"BLUE RUNNER",,,"No data (CLASS B transponder)",,0,"Pleasure Craft","2023-10-06 16:19:40",40.10158,-74.0475
USA,"FIREFIGHTER II",,"1900-01-01 00:00:00","NY HARBOR","NEW YORK",0,"Search and Rescue","2023-11-03 02:52:02",40.62977,-74.0724
